 MJD mag magerr band
0 59451.4055928156 20.1355 0.201791 PS_i
0 59451.3939187247 20.1487 0.20297 PS_i
0 59451.3705461851 20.2428 0.305215 PS_i
0 59448.3380551901 20.2875 0.294671 PS_i
0 59033.307353675 19.2832 0.122776 PS_i
0 59033.2956059115 19.4296 0.0982077 PS_i
0 59033.2838746579 19.2746 0.0929785 PS_i
0 59033.2721136604 19.2315 0.175999 PS_i
0 58973.5032728315 19.0193 0.0719221 PS_i
0 58973.4914409517 19.0499 0.0727566 PS_i
0 58973.4796153122 19.0481 0.0734791 PS_i
0 58973.4677871581 19.1155 0.0817283 PS_i
0 58947.5640603472 18.7259 0.214352 PS_i
0 58947.5521552916 18.7325 0.184181 PS_i
0 58947.5403365156 18.9 0.154001 PS_i
0 58947.5284917535 18.6973 0.126047 PS_i
0 60194.3254037486 20.432 0.053908 PS_w
0 60194.3006056527 20.532 0.0913126 PS_w
0 60194.2883959817 20.4734 0.0600951 PS_w
0 60137.3255710462 20.2542 0.20061 PS_w
0 60137.3132672211 20.2949 0.133159 PS_w
0 60137.3009926261 20.3033 0.0615545 PS_w
0 60137.2888984781 20.3487 0.0720899 PS_w
0 60120.3824556358 20.5239 0.160972 PS_w
0 60120.3704407946 20.4917 0.159497 PS_w
0 60120.3587285713 20.6256 0.237506 PS_w
0 60120.3470698366 20.5579 0.227985 PS_w
0 60116.3564909528 20.4597 0.0685258 PS_w
0 60116.3451276571 20.4463 0.0569776 PS_w
0 60116.3337725382 20.5132 0.0632897 PS_w
0 60116.3224046561 20.4143 0.0490319 PS_w
0 60112.5409495058 20.4628 0.0780631 PS_w
0 60112.5286633777 20.4045 0.0598723 PS_w
0 60112.5163983629 20.3285 0.0365698 PS_w
0 60112.5040565222 20.3168 0.043794 PS_w
0 60090.4186481779 20.2069 0.0469267 PS_w
0 60090.4062529658 20.2202 0.0784261 PS_w
0 60090.3939672559 20.3581 0.104692 PS_w
0 60090.3816593569 20.2971 0.0668014 PS_w
0 59852.2669289048 20.3298 0.138293 PS_w
0 59852.2552362316 20.1689 0.116013 PS_w
0 59852.2434853498 20.3225 0.13672 PS_w
0 59852.2319087204 20.2272 0.0540087 PS_w
0 59827.2841581386 20.1379 0.177473 PS_w
0 59827.2738789752 19.9786 0.107089 PS_w
0 59827.2635449245 20.0761 0.148459 PS_w
0 59827.2533501801 20.0405 0.147827 PS_w
0 59820.2688043205 20.1125 0.0489005 PS_w
0 59820.2565583167 20.113 0.0771121 PS_w
0 59498.2450807458 20.8368 0.28663 PS_w
0 59498.2331396312 20.8047 0.25583 PS_w
0 59498.2211952881 20.7968 0.227538 PS_w
0 59440.3567223555 20.5192 0.156236 PS_w
0 59440.3436056911 20.4201 0.0845873 PS_w
0 59440.3304889169 20.5246 0.107377 PS_w
0 59440.3173897826 20.6511 0.218647 PS_w
0 59370.5497961853 20.5029 0.164263 PS_w
0 59370.537363917 20.4081 0.0826973 PS_w
0 59370.5249106162 20.6561 0.114728 PS_w
0 59370.5124469525 20.4167 0.0604811 PS_w
0 59352.5936176575 20.6517 0.178962 PS_w
0 59352.5812559513 20.8276 0.262083 PS_w
0 59352.5689374115 20.7046 0.192428 PS_w
0 59352.5566640053 20.7191 0.158372 PS_w
0 59019.372422069 19.2442 0.0272842 PS_w
0 59019.360342423 19.2759 0.0696995 PS_w
0 59019.3482779651 19.2438 0.0694632 PS_w
0 59019.3362161354 19.2674 0.0483195 PS_w
0 58669.4553364202 18.2128 0.00887609 PS_w
0 58669.443785488 18.1979 0.00976212 PS_w
0 58669.4321832844 18.213 0.0106072 PS_w
0 58669.4205989731 18.218 0.0110928 PS_w
0 58642.545105334 18.4723 0.0163022 PS_w
0 58642.5334762675 18.4736 0.0209352 PS_w
0 58642.5218392219 18.4763 0.0203519 PS_w
0 58642.5101753487 18.4439 0.0205381 PS_w
0 59468.2372568752 20.5788 0.0902231 PS_w
0 59462.3239172023 20.6781 0.234474 PS_w
0 59462.3123987195 20.5574 0.202336 PS_w
0 59462.3008621876 20.4912 0.141377 PS_w
0 59462.2976761317 20.5066 0.191241 PS_w
0 59462.2893176218 20.6601 0.242147 PS_w
0 59080.3406426226 19.5048 0.0634355 PS_w
0 59080.3282626089 19.514 0.0466663 PS_w
0 59080.3159090206 19.5151 0.0356129 PS_w
0 59080.3035441446 19.5717 0.0382461 PS_w
0 59075.3897868515 19.4359 0.095271 PS_w
0 59075.3891499123 19.4406 0.0691717 PS_w
0 59075.3782588242 19.4664 0.115942 PS_w
0 59075.3776225649 19.4427 0.0621655 PS_w
0 59075.3667207203 19.4555 0.114287 PS_w
0 59075.3660827834 19.4082 0.0732861 PS_w
0 59075.3551733239 19.4726 0.0975602 PS_w
0 59075.3545359463 19.4367 0.0578694 PS_w
0 59053.3829328487 19.3934 0.0406085 PS_w
0 59053.3719645877 19.3819 0.0370763 PS_w
0 59053.3608449502 19.3765 0.0310692 PS_w
0 59048.4113838122 19.3433 0.0448253 PS_w
0 59048.4002123185 19.2731 0.0502719 PS_w
